5.1.2600.3249,x86,70899,654432,654932,658392,658400,,
5.2.3790.3041,x64,186528,1383104,1382944,1390096,1390104,,
5.2.3790.4186,x64,186640,1383104,1382944,1390096,1390104,,
6.2.9200.16384,x64,267596,1156736,1147248,,,1150304,1150288
5.2.3790.1830,x86,98877,739736,739616,741312,741320,,
6.1.7601.17725,x64,70032,1365056,1362136,,,1361968,1361984
5.2.3790.1830,x64,196656,1383008,1381472,1390224,1390232,,
6.1.7600.16385,x64,69808,1364128,1362208,,,1361536,1361552
6.1.7601.17725,x86,294241,967384,966680,,,963224,966448
5.2.3790.4530,x64,185072,1383168,1381600,1390192,1390200,,
5.2.3790.4806,x86,117221,736816,736016,737480,737488,,
6.1.7601.17514,x86,294241,967384,966680,,,963224,966448
6.1.7600.16915,x64,69808,1364128,1362208,,,1361536,1361552
5.1.2600.5512,x86,65004,654432,654932,658584,658592,,
6.0.6000.16386,x86,98368,1147544,1146720,1143272,1139332,,
6.0.6001.18000,x86,105628,1167992,1167192,,,1163748,1166928
6.0.6000.16386,x64,95424,1579584,1565888,1576624,1558160,,
5.2.3790.0,x86,81886,732456,732976,729608,729668,,
5.2.3790.1830,x86,98877,739736,739616,741312,741320,,
5.2.3790.3959,x86,117077,732720,731920,733384,733392,,
6.1.7601.17514,x64,70032,1365056,1362136,,,1361968,1361984
6.0.6001.18000,x64,49192,1608928,1594528,,,1603936,1603952
5.1.2600.5512,x86,65004,654432,654932,658584,658592,,
6.2.8400.0,x64,287836,1156688,1147248,,,1150336,1150320
6.2.9200.16384,x64,267596,1156736,1147248,,,1150304,1150288
6.2.9200.16384,x86,391151,930232,929576,,,925956,929368
5.1.2600.2180,x86,81691,650304,650804,654392,654400,,
5.1.2600.6058,x86,65091,654432,654932,658584,658592,,
5.1.2600.134,x86,76061,588916,588912,586192,586252,,
5.1.2600.1361,IA64,,2031872,2005704,2005072,2005112,,
5.1.2600.1597,IA64,,2031872,2005704,2005072,2005112,,
5.1.2600.2525,x86,87746,650336,650836,654328,654336,,
5.1.2600.2976,x86,87113,654432,654932,658392,658400,,
5.1.2600.3249,x86,70899,654432,654932,658392,658400,,
5.1.2600.3520,x86,70907,654432,654932,658392,658400,,
5.1.2600.5755,x86,65012,654432,654932,658584,658592,,
5.1.2600.6058,x86,65091,654432,654932,658584,658592,,
5.2.3790.134,x86,81886,732488,733008,729640,729700,,
5.2.3790.220,x86,81886,732488,733008,729640,729700,,
5.2.3790.3041,IA64,,2108480,2104832,2122880,2125248,,
5.2.3790.3290,IA64,,2116672,2112928,2131008,2133312,,
5.2.3790.4186,IA64,,2116672,2113024,2131072,2133440,,
5.2.3790.4455,IA64,,2116672,2112928,2131008,2133312,,
5.2.3790.4806,IA64,,2116608,2112960,2131168,2133376,,
6.0.6000.16820,x64,95424,1579584,1565888,1576624,1558160,,
6.0.6000.16870,x64,95680,1583648,1569984,1580720,1562256,,
6.0.6000.21010,x64,95424,1579584,1565888,1576624,1558160,,
6.0.6000.21125,x64,95520,1583648,1569984,1580720,1562256,,
6.0.6001.18215,IA64,,3203904,3203872,,,3208392,3207056
6.0.6001.18272,IA64,,3203968,3203936,,,3208464,3207120
6.0.6001.22376,IA64,,3203904,3203872,,,3208392,3207056
6.0.6001.22518,IA64,,3212160,3212128,,,3216656,3215312
6.0.6002.18051,IA64,,3220384,3220352,,,3224880,3223536
6.0.6002.18541,IA64,,3220384,3220352,,,3224880,3223536
6.0.6002.22223,IA64,,3220384,3220352,,,3224880,3223536
6.0.6002.22742,IA64,,3220384,3220352,,,3224888,3223536
6.0.6002.22869,IA64,,3220384,3220352,,,3224888,3223536
6.1.7600.16915,IA64,,2625760,2625728,,,2630272,2628912
6.1.7600.21092,IA64,,2625760,2625728,,,2630272,2628912
6.1.7600.21225,IA64,,2625760,2625728,,,2630272,2628912
6.1.7601.17725,IA64,,2625760,2625728,,,2630272,2628912
6.1.7601.21861,IA64,,2625760,2625728,,,2630272,2628912
6.1.7601.22010,IA64,,2625760,2625728,,,2630272,2628912
6.1.7600.16385,x86,115490,967384,966680,,,963224,966448
5.2.3790.4806,x64,185072,1383168,1381600,1390192,1390200,,
