Fabric OS,Brocade
BUFFALO INC,Buffalo
User Access Verification,Cisco
Welcome to the DS2 command line processor,Dedicated Micros
Welcome to Pinon Debug Terminal,Dell
login:,Digi
Configuration Login:,HP
JetDirect,HP
ProCurve Switch,HP
IRIX,generic
KYOCERA,Kyocera
MediaPOINTE,MediaPOINTE
Motorola,Motorola
Data ONTAP,NetApp
\)switch login:,QLogic
Patton Electronics,Patton
PelcoNet,Pelco
SAVIN Maintenance,Ricoh
Network Printer Server Version,Printronix
OkiLAN,Okilan
Welcome to ViewStation,Polycom
Red Hat Linux,generic
RICOH,Ricoh
SHARP,Sharp
Sun\(tm\) Advanced Lights Out Manager,Sun
MKS Telnet,TODO
VxWorks login:,Shoretel
VxWorks login:,Cisco
